연번,정류소아이디(ID),정류소명,경도,위도,데이터기준일자
1103,15027,신풍경로당,127.9948458,35.20059462,2021-09-09
1104,15028,신풍경로당,127.9947734,35.20050959,2021-09-09
1105,15003,신풍종점,127.9955859,35.18565836,2021-09-09
1106,15051,신풍종점,127.9954916,35.18558027,2021-09-09
1107,10010,신흥,128.1401396,35.25883704,2021-09-09
1108,10011,신흥,128.1399808,35.25906611,2021-09-09
1109,37028,신흥타이어,128.117986,35.17445515,2021-09-09
1110,37027,신흥타이어,128.1177034,35.17466055,2021-09-09
1111,39030,실내체육관/수영장,128.1259536,35.20954315,2021-09-09
1112,39029,실내체육관/수영장,128.1261617,35.20811492,2021-09-09
1113,3029,심대,128.0763476,35.13072014,2021-09-09
1114,3055,심대,128.0762349,35.13069861,2021-09-09
1115,8075,씨엔텍코리아,128.2798705,35.1883387,2021-09-09
1116,8076,씨엔텍코리아,128.2799624,35.1885991,2021-09-09
1117,37021,아이에스동서,128.1233585,35.17221078,2021-09-09
1118,37022,아이에스동서,128.1231742,35.17237923,2021-09-09
1119,13019,안간,128.0903078,35.31849505,2021-09-09
1120,13020,안간,128.0904043,35.31831393,2021-09-09
1121,9074,안계,128.2232399,35.25930973,2021-09-09
1122,9075,안계,128.2231867,35.25924268,2021-09-09
1123,39038,안락공원,128.1030478,35.20056079,2021-09-09
1124,39002,안락공원,128.1041645,35.20072186,2021-09-09
1125,39039,안락공원입구,128.1025608,35.2018969,2021-09-09
1126,36038,안락공원입구,128.102614,35.20217807,2021-09-09
1127,11054,안사동,128.1610828,35.21910974,2021-09-09
1128,1070,안전,128.1986161,35.1418639,2021-09-09
1129,1069,안전,128.1989317,35.14186979,2021-09-09
1130,1044,안전1,128.2024045,35.14448293,2021-09-09
1131,1045,안전1,128.202575,35.14451278,2021-09-09
1132,1085,안전경로회관,128.2033094,35.14576054,2021-09-09
1133,1086,안전경로회관,128.2034519,35.14575237,2021-09-09
1134,9024,압현,128.2485448,35.24204646,2021-09-09
1135,9023,압현,128.2485697,35.24188172,2021-09-09
1136,9014,압현입구,128.2471803,35.24118404,2021-09-09
1137,9015,압현입구,128.246994,35.24121074,2021-09-09
1138,2060,애양골입구,128.0330173,35.14464398,2021-09-09
1139,2061,애양골입구,128.0331407,35.14463617,2021-09-09
1140,2110,양옥,128.0331406,35.15139595,2021-09-09
1141,2112,양옥,128.0329957,35.15153777,2021-09-09
1142,2030,양옥,128.0327973,35.15175946,2021-09-09
1143,2029,양옥,128.0329493,35.15162973,2021-09-09
1144,16078,양월,127.9547179,35.14480854,2021-09-09
1145,16077,양월,127.9546745,35.14508379,2021-09-09
1146,6031,양전,128.2900849,35.16063332,2021-09-09
1147,6030,양전,128.2900946,35.1605521,2021-09-09
1148,14101,어리대,128.031202,35.21661304,2021-09-09
1149,14100,어리대,128.0311754,35.21646681,2021-09-09
1150,41020,어린이교통공원,128.0386245,35.16234059,2021-09-09
1151,41021,어린이교통공원,128.0386555,35.16219161,2021-09-09
1152,1122,어수,128.1672641,35.14814334,2021-09-09
1153,1080,어수,128.1662964,35.1480017,2021-09-09
1154,13057,어옥,128.1352977,35.3026218,2021-09-09
1155,13056,어옥,128.1352159,35.30266763,2021-09-09
1156,13093,어옥종점,128.1369197,35.3069008,2021-09-09
